epoch,accuracy,loss,val_accuracy,val_loss
0,0.24375000596046448,1.3900558948516846,0.375,1.3732655048370361
1,0.44062501192092896,1.329377293586731,0.4749999940395355,1.1052923202514648
2,0.5249999761581421,1.155167818069458,0.48750001192092896,1.0389364957809448
3,0.5843750238418579,1.0937222242355347,0.6499999761581421,0.8829172849655151
4,0.65625,0.9483149647712708,0.7875000238418579,0.6561869382858276
5,0.768750011920929,0.7158668041229248,0.8374999761581421,0.562846302986145
6,0.8125,0.5726865530014038,0.8999999761581421,0.2786148488521576
7,0.862500011920929,0.4409388601779938,0.887499988079071,0.28780654072761536
8,0.856249988079071,0.4063073992729187,0.887499988079071,0.31461644172668457
9,0.8656250238418579,0.38288000226020813,0.8374999761581421,0.4225955903530121
10,0.90625,0.31626462936401367,0.862500011920929,0.37824591994285583
11,0.8999999761581421,0.32271161675453186,0.9375,0.26189345121383667
12,0.9156249761581421,0.2419600486755371,0.925000011920929,0.23235389590263367
13,0.8843749761581421,0.2906416654586792,0.8500000238418579,0.6158957481384277
14,0.90625,0.24084360897541046,0.9125000238418579,0.42294663190841675
15,0.918749988079071,0.20748920738697052,0.9125000238418579,0.47715824842453003
16,0.918749988079071,0.22495916485786438,0.9375,0.20458006858825684
17,0.925000011920929,0.19799211621284485,0.8999999761581421,0.2434866726398468
18,0.9437500238418579,0.18301066756248474,0.862500011920929,0.5005771517753601
19,0.9375,0.18777790665626526,0.875,0.31101715564727783
20,0.918749988079071,0.19513431191444397,0.925000011920929,0.2732017934322357
21,0.909375011920929,0.22546887397766113,0.925000011920929,0.19187793135643005
22,0.940625011920929,0.1881386935710907,0.949999988079071,0.29060614109039307
23,0.940625011920929,0.17620337009429932,0.9375,0.20164938271045685
