epoch,accuracy,loss,val_accuracy,val_loss
0,0.21764706075191498,1.3895381689071655,0.25581395626068115,1.3825892210006714
1,0.32058823108673096,1.3770231008529663,0.3720930218696594,1.2909795045852661
2,0.4588235318660736,1.2319839000701904,0.569767415523529,1.012381672859192
3,0.5970588326454163,1.0940383672714233,0.6860465407371521,0.8863381743431091
4,0.6911764740943909,0.9558337330818176,0.6162790656089783,0.7960682511329651
5,0.7058823704719543,0.8774509429931641,0.6976743936538696,0.7214977145195007
6,0.7735294103622437,0.6964287757873535,0.8139534592628479,0.5882521867752075
7,0.8088235259056091,0.5770303010940552,0.8372092843055725,0.44640734791755676
8,0.8264706134796143,0.5062583088874817,0.8255813717842102,0.44354337453842163
9,0.8794117569923401,0.4126511514186859,0.8720930218696594,0.4002418518066406
10,0.9117646813392639,0.3280344009399414,0.895348846912384,0.39392754435539246
11,0.8999999761581421,0.283213347196579,0.8372092843055725,0.4675127863883972
12,0.841176450252533,0.42142054438591003,0.7790697813034058,0.6863769888877869
13,0.8823529481887817,0.3505977392196655,0.8488371968269348,0.46091678738594055
14,0.9058823585510254,0.26205477118492126,0.895348846912384,0.37043124437332153
15,0.9147058725357056,0.23443178832530975,0.8255813717842102,0.7664682865142822
16,0.8941176533699036,0.2739222049713135,0.8139534592628479,0.5906437635421753
17,0.9205882549285889,0.23732216656208038,0.8604651093482971,0.5042716860771179
18,0.9235293865203857,0.250049889087677,0.8372092843055725,0.47316622734069824
19,0.8911764621734619,0.26629793643951416,0.8488371968269348,0.571730375289917
20,0.9382352828979492,0.17871572077274323,0.8720930218696594,0.42910563945770264
21,0.9117646813392639,0.2318640500307083,0.8139534592628479,0.6109256148338318
22,0.9147058725357056,0.20974282920360565,0.8837209343910217,0.3893595337867737
23,0.9323529601097107,0.18636414408683777,0.9186046719551086,0.307858943939209
24,0.9323529601097107,0.16546225547790527,0.8720930218696594,0.5720059871673584
25,0.9411764740943909,0.1731252521276474,0.8255813717842102,0.6147800087928772
26,0.9382352828979492,0.18437720835208893,0.8488371968269348,0.5416898727416992
27,0.9470587968826294,0.15320329368114471,0.8139534592628479,0.6708059310913086
28,0.9147058725357056,0.19258859753608704,0.8372092843055725,0.8149192929267883
29,0.9147058725357056,0.21986354887485504,0.9186046719551086,0.3359099328517914
30,0.949999988079071,0.14476659893989563,0.8837209343910217,0.5581222772598267
31,0.9441176652908325,0.14586955308914185,0.895348846912384,0.532320499420166
32,0.9205882549285889,0.27967938780784607,0.7790697813034058,1.281482219696045
33,0.929411768913269,0.24153874814510345,0.9069767594337463,0.5355603694915771
34,0.9205882549285889,0.19801005721092224,0.8488371968269348,0.7188761830329895
35,0.9470587968826294,0.15632109344005585,0.8837209343910217,0.35903263092041016
